size,time_ns,operations
100,2501,1604
200,4177,3556
300,6726,5764
400,10157,8099
500,15007,10182
600,20171,13622
700,24811,15503
800,33825,19580
900,39805,22783
1000,45716,23876
1100,50674,28347
1200,57196,30774
1300,63163,35475
1400,70868,36854
1500,75368,39220
1600,85810,46402
1700,89001,45211
1800,97207,52833
1900,98412,50435
2000,112559,56594
2100,119447,64067
2200,122796,65755
2300,126707,65932
2400,134163,71712
2500,139885,76885
2600,147262,79644
2700,153011,82878
2800,164356,84208
2900,164081,85334
3000,173601,87853
3100,188731,111621
3200,197920,110670
3300,194685,104549
3400,196785,105177
3500,203036,106495
3600,217222,120409
3700,217441,112483
3800,226590,117397
3900,231510,118693
4000,241488,125815
4100,283581,183232
