size,time_ns,operations
100,893,1322
200,1932,3138
300,3716,5279
400,4535,7265
500,5726,8918
600,8230,12033
700,9353,14001
800,9892,16517
900,10749,18361
1000,12184,20288
1100,16234,24882
1200,17654,27028
1300,18866,29158
1400,19679,31461
1500,21778,33922
1600,22394,36992
1700,25261,39143
1800,24417,41178
1900,27256,43538
2000,28461,45566
2100,36443,52953
2200,36481,55234
2300,35817,56559
2400,38742,60066
2500,37838,62004
2600,40782,64814
2700,41474,67801
2800,43947,69907
2900,46385,72901
3000,46949,75333
3100,49356,79637
3200,49547,81938
3300,52785,82327
3400,55742,86822
3500,56066,89432
3600,52224,91346
3700,60242,94005
3800,62342,96595
3900,60983,98368
4000,60127,101114
4100,69804,113889
