size,time_ns,operations
100,2125,1337
200,3221,3143
300,5862,5286
400,5958,7259
500,7460,8919
600,9267,12052
700,10646,14012
800,11899,16510
900,12903,18347
1000,14570,20311
1100,17866,24889
1200,19647,27059
1300,20655,29171
1400,22921,31487
1500,23733,33927
1600,25352,36971
1700,28570,39151
1800,26094,41169
1900,30835,43517
2000,30726,45574
2100,36671,52947
2200,38077,55244
2300,37959,56552
2400,41137,60062
2500,40342,62010
2600,44864,64809
2700,45118,67806
2800,49138,69922
2900,51124,72894
3000,49915,75328
3100,54477,79620
3200,55193,81889
3300,54538,82290
3400,62596,86799
3500,61954,89374
3600,58309,91334
3700,67406,93971
3800,67638,96549
3900,64774,98380
4000,66254,101131
4100,75521,113869
