size,time_ns,operations
100,99,100
200,163,200
300,233,300
400,303,400
500,370,500
600,501,826
700,761,1654
800,985,2554
900,1217,3454
1000,1563,4354
1100,1698,5254
1200,2026,6344
1300,2478,7444
1400,2762,8544
1500,3656,9928
1600,4297,12064
1700,4698,13364
1800,5240,14826
1900,5736,16326
2000,6298,17826
2100,7034,19326
2200,7491,20826
2300,8219,22372
2400,8594,24162
2500,9003,26062
2600,9486,27962
2700,9976,29862
2800,10955,34498
2900,11130,35998
3000,11465,37498
3100,13262,45170
3200,13617,46270
3300,13941,47370
3400,14342,48470
3500,15939,55230
3600,18249,64268
3700,18458,64768
3800,18609,65268
3900,18985,65768
4000,20522,73044
4100,22303,80130
