size,time_ns,operations
100,1305,100
200,1375,200
300,1309,388
400,1562,888
500,1824,1714
600,1894,2050
700,2064,2550
800,2431,3096
900,2606,3796
1000,2832,4496
1100,2828,5196
1200,3108,6178
1300,3880,7278
1400,4919,10392
1500,5107,11292
1600,5364,12192
1700,5631,13928
1800,6499,15068
1900,6277,16368
2000,6700,17668
2100,7254,18968
2200,8023,22386
2300,8337,23686
2400,8734,24986
2500,10004,26286
2600,9987,29216
2700,10912,32240
2800,10904,33140
2900,11240,34040
3000,11829,34940
3100,11711,35840
3200,11903,36740
3300,12257,37640
3400,12794,38540
3500,12523,39440
3600,13628,43034
3700,14684,47574
3800,17041,53966
3900,16600,54266
4000,16897,54566
4100,18883,61610
