size,time_ns,operations
100,2632,4828
200,7106,20778
300,14103,48156
400,23894,84262
500,36610,134156
600,50094,193766
700,66900,262928
800,86037,342014
900,108155,428200
1000,132504,522750
1100,157123,632608
1200,186619,745226
1300,218358,878820
1400,248058,1013936
1500,281740,1155940
1600,320402,1310620
1700,361692,1486364
1800,401476,1659272
1900,458328,1841958
2000,499631,2046170
2100,560263,2267018
2200,609441,2475170
2300,651320,2699090
2400,755730,2918090
2500,807038,3196688
2600,827581,3455816
2700,918590,3707322
2800,1004828,3969956
2900,1062260,4255142
3000,1128235,4564660
3100,1329766,4862074
3200,1224369,5147616
3300,1292994,5434098
3400,1704113,5784672
3500,1455364,6108070
3600,1526337,6433996
3700,1637649,6836854
3800,1715139,7215372
3900,1808846,7620798
4000,1920524,8024280
4100,1994247,8412968
