size,time_ns,operations
100,2296,4478
200,6482,18226
300,11816,39474
400,19210,66494
500,27937,101992
600,39216,148288
700,52691,204672
800,70003,274096
900,87586,350008
1000,111442,434700
1100,131984,527072
1200,152487,608200
1300,174872,697548
1400,202254,810520
1500,228764,929370
1600,261904,1063750
1700,296913,1211796
1800,332118,1360970
1900,365917,1502926
2000,409010,1686164
2100,447327,1849350
2200,493022,2021554
2300,537271,2223196
2400,578705,2410520
2500,632039,2630268
2600,682120,2840672
2700,739866,3081506
2800,797609,3328510
2900,849519,3557092
3000,915031,3800898
3100,979356,4048294
3200,1039084,4328930
3300,1118395,4581156
3400,1160069,4850844
3500,1230706,5140538
3600,1301718,5463308
3700,1370923,5770258
3800,1442324,6056880
3900,1516261,6383464
4000,1591088,6704672
4100,1674799,7059128
