size,time_ns,operations
100,3068,10076
200,10970,40172
300,23486,90280
400,41155,160380
500,70637,250478
600,179448,360582
700,281648,490676
800,231682,640784
900,238347,810868
1000,249545,1000954
1100,286740,1211042
1200,343988,1441112
1300,404785,1691196
1400,462671,1961302
1500,532098,2251420
1600,603004,2561522
1700,681344,2891610
1800,763368,3241732
1900,848253,3611830
2000,1035677,4001968
2100,1043389,4412074
2200,1179800,4842178
2300,1292644,5292286
2400,1363208,5762412
2500,1470227,6252508
2600,1583676,6762626
2700,1707228,7292736
2800,1835065,7842844
2900,1967702,8412942
3000,2105544,9003044
3100,2247595,9613106
3200,2394650,10243232
3300,2544768,10893346
3400,2766771,11563472
3500,2862211,12253580
3600,3026341,12963652
3700,3198635,13693770
3800,3442840,14443884
3900,3551643,15213980
4000,3736541,16004074
4100,3947480,16814184
