size,time_ns,operations
100,4526,10126
200,11999,40208
300,24540,90302
400,41853,160394
500,63172,250506
600,89717,360620
700,124494,490710
800,159921,640832
900,200447,810958
1000,245827,1001008
1100,296336,1211092
1200,348579,1441194
1300,409494,1691302
1400,469886,1961386
1500,540292,2251512
1600,614709,2561610
1700,692435,2891690
1800,773950,3241800
1900,865723,3611896
2000,953750,4001994
2100,1049098,4412080
2200,1153189,4842208
2300,1258202,5292282
2400,1366667,5762392
2500,1480829,6252466
2600,1602167,6762584
2700,1726827,7292690
2800,1856887,7842768
2900,1990355,8412892
3000,2160849,9002992
3100,2331837,9613106
3200,2417438,10243226
3300,2572138,10893316
3400,2728153,11563418
3500,2920726,12253536
3600,3073777,12963652
3700,3235283,13693764
3800,3409728,14443872
3900,3582688,15214004
4000,3774545,16004048
4100,3959326,16814150
