algo,alphabet,text_size,pattern_size,sub_cnt,avg_time,avg_oper
cooler_kmp,binary,10000,100,0,16026,2970
cooler_kmp,binary,10000,200,0,16378,5970
cooler_kmp,binary,10000,300,0,18099,8970
cooler_kmp,binary,10000,400,0,19035,11970
cooler_kmp,binary,10000,500,0,21022,14970
cooler_kmp,binary,10000,600,0,19189,17970
cooler_kmp,binary,10000,700,0,22029,20970
cooler_kmp,binary,10000,800,0,19729,23970
cooler_kmp,binary,10000,900,0,21285,26970
cooler_kmp,binary,10000,1000,0,23335,29970
cooler_kmp,binary,10000,1100,0,24975,32970
cooler_kmp,binary,10000,1200,0,23278,35970
cooler_kmp,binary,10000,1300,0,23944,38970
cooler_kmp,binary,10000,1400,0,27189,41970
cooler_kmp,binary,10000,1500,0,25395,44970
cooler_kmp,binary,10000,1600,0,26703,47970
cooler_kmp,binary,10000,1700,0,27347,50970
cooler_kmp,binary,10000,1800,0,28723,53970
cooler_kmp,binary,10000,1900,0,28173,56970
cooler_kmp,binary,10000,2000,0,31010,59970
cooler_kmp,binary,10000,2100,0,30761,62970
cooler_kmp,binary,10000,2200,0,30241,65970
cooler_kmp,binary,10000,2300,0,31368,68970
cooler_kmp,binary,10000,2400,0,32583,71970
cooler_kmp,binary,10000,2500,0,32714,74970
cooler_kmp,binary,10000,2600,0,33464,77970
cooler_kmp,binary,10000,2700,0,33046,80970
cooler_kmp,binary,10000,2800,0,35302,83970
cooler_kmp,binary,10000,2900,0,34861,86970
cooler_kmp,binary,10000,3000,0,36563,89970
cooler_kmp,binary,100000,100,0,231897,2970
cooler_kmp,binary,100000,200,0,209017,5970
cooler_kmp,binary,100000,300,0,239365,8970
cooler_kmp,binary,100000,400,0,229698,11970
cooler_kmp,binary,100000,500,0,234542,14970
cooler_kmp,binary,100000,600,0,236939,17970
cooler_kmp,binary,100000,700,0,242487,20970
cooler_kmp,binary,100000,800,0,240985,23970
cooler_kmp,binary,100000,900,0,230452,26970
cooler_kmp,binary,100000,1000,0,270069,29970
cooler_kmp,binary,100000,1100,0,226859,32970
cooler_kmp,binary,100000,1200,0,223972,35970
cooler_kmp,binary,100000,1300,0,228137,38970
cooler_kmp,binary,100000,1400,0,217706,41970
cooler_kmp,binary,100000,1500,0,265233,44970
cooler_kmp,binary,100000,1600,0,217622,47970
cooler_kmp,binary,100000,1700,0,253549,50970
cooler_kmp,binary,100000,1800,0,230407,53970
cooler_kmp,binary,100000,1900,0,231184,56970
cooler_kmp,binary,100000,2000,0,234005,59970
cooler_kmp,binary,100000,2100,0,224525,62970
cooler_kmp,binary,100000,2200,0,226937,65970
cooler_kmp,binary,100000,2300,0,261542,68970
cooler_kmp,binary,100000,2400,0,239397,71970
cooler_kmp,binary,100000,2500,0,248807,74970
cooler_kmp,binary,100000,2600,0,237770,77970
cooler_kmp,binary,100000,2700,0,226672,80970
cooler_kmp,binary,100000,2800,0,226295,83970
cooler_kmp,binary,100000,2900,0,234433,86970
cooler_kmp,binary,100000,3000,0,222500,89970
cooler_kmp,binary,10000,100,1,37681,4484
cooler_kmp,binary,10000,200,1,35836,8895
cooler_kmp,binary,10000,300,1,38423,13365
cooler_kmp,binary,10000,400,1,36065,17715
cooler_kmp,binary,10000,500,1,37944,21706
cooler_kmp,binary,10000,600,1,40005,27134
cooler_kmp,binary,10000,700,1,39865,31455
cooler_kmp,binary,10000,800,1,40845,35235
cooler_kmp,binary,10000,900,1,44158,41264
cooler_kmp,binary,10000,1000,1,41824,43156
cooler_kmp,binary,10000,1100,1,47764,50114
cooler_kmp,binary,10000,1200,1,50741,58271
cooler_kmp,binary,10000,1300,1,45071,57675
cooler_kmp,binary,10000,1400,1,51770,66732
cooler_kmp,binary,10000,1500,1,48245,67005
cooler_kmp,binary,10000,1600,1,48841,72434
cooler_kmp,binary,10000,1700,1,46437,72887
cooler_kmp,binary,10000,1800,1,51947,82574
cooler_kmp,binary,10000,1900,1,56225,88873
cooler_kmp,binary,10000,2000,1,57265,94152
cooler_kmp,binary,10000,2100,1,57262,95084
cooler_kmp,binary,10000,2200,1,52807,94996
cooler_kmp,binary,10000,2300,1,59105,105524
cooler_kmp,binary,10000,2400,1,54364,101477
cooler_kmp,binary,10000,2500,1,59528,110205
cooler_kmp,binary,10000,2600,1,64217,121633
cooler_kmp,binary,10000,2700,1,61398,119835
